run_number,electrons,muons,pions,protons,act0,act1,act2,act3,act4,act5,beam_config,beam_momentum,cesar_file,comments,date,deadtime,end_time,lead_glass,run_config,shifter,start_time,status,target,trigger_config,T5_beam_mean_x,T5_beam_mean_x_error,T5_beam_mean_y,T5_beam_mean_y_error,T5_beam_sigma_x,T5_beam_sigma_x_error,T5_beam_sigma_y,T5_beam_sigma_y_error,act_indices,total_events
1566,1020,25786,101,60253,1.01,1.01,1.01,1.02,1.02,out,"pos. hadron, slit 1%",1500,1489,"e-veto 2, ACT 3,4 installed",15/4,750,16:35,OUT,Good_mpmt_beam v43,"Patrick, Xiaoyue",16:23,"Complete, good",Al200,LEP 5.1,-5.231468091757051,0.037183746202516466,-7.040548295820495,0.028731658792229664,28.085614647902986,0.05709686444915718,16.745634494655533,0.029421899621581815,"1.01, 1.01, 1.01, 1.02, 1.02, out",87160
1567,3024,66729,287,155607,1.01,1.01,1.01,1.02,1.02,out,"pos. hadron, slit 1%",1500,1489,"e-veto 2, ACT 3,4 installed",15/4,750,17:17,OUT,Good_mpmt_beam v43,"Patrick, Xiaoyue",16:53,"Complete, good",Al200,LEP 5.1,-5.116289940641947,0.020575095178063777,-7.012022758670084,0.015461816293738478,28.41032362072904,0.036301164645296424,16.835186414697453,0.019722024057388765,"1.01, 1.01, 1.01, 1.02, 1.02, out",225647
1570,4097,0,36017,184850,1.02,1.01,1.01,out,out,out,"pos. hadron, slit 1%",1500,1489,"e-veto 2, ACT 3,4 uninstalled",15/4,750,21:34,OUT,Good_mpmt_beam v43,"Patrick, Xiaoyue",20:34,"Complete, good",Al200,LEP 5.1,-5.812057156230698,0.02624381729179446,-6.82861142099559,0.020931373023691326,27.36470560536659,0.029953275898686016,16.085007763151086,0.015621258971366458,"1.02, 1.01, 1.01, out, out, out",224964
1571,6906,0,49738,233441,1.02,1.01,1.01,out,out,out,"pos. hadron, slit 1%",1400,1488,"e-veto 2, ACT 3,4 uninstalled",15/4,750,20:28,OUT,Good_mpmt_beam v43,"Patrick, Xiaoyue",21:40,"Complete, good",Al200,LEP 5.1,-6.130698171273341,0.02178730991944963,-6.345188884367583,0.018515761362552303,27.694184579816973,0.028125714018221615,16.702172732570165,0.014281104016939494,"1.02, 1.01, 1.01, out, out, out",290085
1589,2615,0,563,215491,1.02,1.01,1.01,out,out,out,"pos. hadron, slit 1%",1500,1489,"1500MeV/c 1pc pre-scale 15mm slit, 400cc post-trigger high rate test 750cc dead time",16/04,750,18:51,OUT,Good_mpmt_beam v43,"Patrick, Bruno, Xiaoyue",18:07,"Complete, good",Al200,LEP 5.1,-6.096121665562599,0.012745682837639861,-6.293636817547304,0.016576833903766342,27.133804350616217,0.035033353739320816,16.35563151350738,0.018236259527332876,"1.02, 1.01, 1.01, out, out, out",218669
1590,1440,0,324,129258,1.02,1.01,1.01,out,out,out,"pos. hadron, slit 1%",1500,1489,"1500MeV/c 1pc pre-scale 15mm slit, 12500cc post-trigger high rate test 13000cc dead time, beam spill coming in every ~35 s, had to stop run after ROOT Writer Error due to large file sizes",16/04,13000,19:53,OUT,Good_mpmt_beam v46,"Patrick, Bruno, Xiaoyue",19:10,"Complete, errors",Al200,LEP 5.1,-5.808242287410942,0.009699488767972136,-7.777985243615209,0.009927063157278098,28.548154054904288,0.028783897125672198,17.2987603217448,0.01602306088961214,"1.02, 1.01, 1.01, out, out, out",131022
1593,13667,7900,80106,67223,1.01,1.01,1.01,1.015,1.015,1.015,"pos. hadron, slit 1%",770,1495,,17/04,750,01:52,OUT,Good_mpmt_beam v43,"Adam, Annalisa",00:30,"Complete, good",Al200,LEP 5.1,-3.9455289741334103,0.026777600837952793,-1.3882887387848826,0.018385388873734053,34.12491425804085,0.010030869392991804,24.29336433530929,0.01845342761020241,"1.01, 1.01, 1.01, 1.015, 1.015, 1.015",168896
1598,43417,27776,249015,210611,1.01,1.01,1.01,1.015,1.015,1.015,"pos. hadron, slit 1%",770,1495,,17/04,750,06:58,OUT,Good_mpmt_beam v43,"Adam, Annalisa",05:40,"Complete, errors",Al200,LEP 5.1,-4.35337754900685,0.02439038768310746,-1.361184162737157,0.019488482597706403,34.24910023778659,0.010285437517957519,24.31490683233716,0.018515780678121985,"1.01, 1.01, 1.01, 1.015, 1.015, 1.015",530819
1602,81860,47075,418354,355436,1.01,1.01,1.01,1.015,1.015,1.015,"pos. hadron, slit 1%",770,1495,,17/04,750,11:48,OUT,Good_mpmt_beam v43,"Jiri, Kamila",09:44,"Complete, good",Al200,LEP 5.1,-4.04734463837784,0.012959313689892815,-1.2579697673863215,0.015097328685412945,34.309936100659925,0.008350014064852473,24.355488137997593,0.014912136470897508,"1.01, 1.01, 1.01, 1.015, 1.015, 1.015",902725
1606,60226,30195,341112,286705,1.01,1.01,1.01,1.015,1.015,1.015,"pos. hadron, slit 1%",780,1365,,17/04,750,14:51,OUT,Good_mpmt_beam v43,"Jiri, Kamila",12:48,"Complete, good",Al200,LEP 5.1,-3.884139138750992,0.013222063969900553,1.1882401082760286,0.016502525662569396,34.094615852867925,0.010152852505022736,24.41871317667976,0.01583316286626335,"1.01, 1.01, 1.01, 1.015, 1.015, 1.015",718238
1608,67567,36682,376058,321632,1.01,1.01,1.01,1.015,1.015,1.015,"pos. hadron, slit 1%",780,1365,Dropped packets when the run was stopped,17/04,750,17:23,OUT,Good_mpmt_beam v43,"Jiri, Kamila",15:08,"Complete, errors",Al200,LEP 5.1,-3.9928491204220498,0.011872730882546123,1.1583442890641886,0.01644661549291755,33.965310054529475,0.009958300935952735,24.42988160448654,0.015266578597206149,"1.01, 1.01, 1.01, 1.015, 1.015, 1.015",801939
