run,offset_ns,error_ns
1397,-531.779,0.000310475
1398,-531.742,0.000236249
1403,-531.833,0.0034879
1404,-531.822,0.0014268
1405,-531.81,0.001767
1406,-531.81,0.000876831
1407,-531.813,0.00120814
1412,-531.788,0.000887102
1413,-531.8,0.00109728
1414,-531.793,0.00154468
1416,-531.8,0.00158248
1417,-531.8,0.00197276
1418,-531.807,0.00220539
1419,-531.763,0.000652882
1420,-531.749,0.000889798
1421,-531.739,0.000571901
1422,-531.745,0.000896201
1432,-531.743,0.00074089
1433,-531.726,0.000577705
1434,-531.71,0.000438871
1435,-531.706,0.000558939
1436,-531.699,0.00045283
1440,-531.735,0.00144241
1441,-531.742,0.00107085
1442,-531.729,0.000509253
1443,-531.721,0.000392167
1444,-531.712,0.000357186
1452,-531.734,0.000326432
1455,-531.638,0.00139062
1456,-531.626,0.000523803
1457,-531.618,0.000471738
1458,-531.613,0.000647632
1459,-531.602,0.000273207
1472,-531.632,0.000202837
1478,-531.641,0.00013884
1486,-531.632,0.000167679
1487,-531.624,0.000149861
1488,-531.624,0.000196198
1489,-531.62,0.000115532
1490,-531.619,0.00018793
1491,-531.624,0.00015819
1494,-531.644,0.000265983
1499,-531.669,0.000192997
1501,-531.667,0.000199822
1506,-531.662,0.000171599
1510,-531.683,0.000318734
1514,-531.689,0.000246792
1518,-531.682,0.000235957
1521,-531.683,0.000408941
1531,-531.696,0.00105595
1536,-531.749,0.000393884
1537,-531.749,0.000411096
1538,-531.755,0.000714983
1540,-531.741,0.000542312
1541,-531.72,0.000628933
1543,-531.716,0.000859844
1556,-531.715,0.000425295
1560,-531.702,0.000919666
1562,-531.716,0.000346901
1566,-531.401,0.000376936
1567,-531.403,0.00023299
1570,-531.269,0.000265491
1571,-531.266,0.000258202
1574,-531.68,0.000791066
1576,-531.676,0.00117585
1580,-531.662,0.000548269
1582,-531.734,0.000381814
1586,-531.735,0.00128928
1589,-530.918,0.000212158
1590,-530.915,0.000275754
1593,-531.693,0.000158547
1598,-531.683,0.000157812
1602,-531.677,0.000125089
1606,-531.691,0.000139182
1608,-531.688,0.000133923
1610,-531.694,0.000137777
1612,-531.69,0.000144291
1624,-531.711,0.000162422
1631,-531.717,0.000168507
1633,-531.723,0.000207501
1634,-531.726,0.000211638
1636,-531.636,0.000524878
1638,-531.631,0.000552168
1641,-531.629,0.000598202
1645,-531.637,0.000906174
1648,-531.636,0.00071486
1650,-531.648,0.00069305
1659,-531.646,0.000719562
1661,-531.646,0.000929177
1662,-531.637,0.000968749
1665,-531.61,0.00070121
1668,-531.621,0.00344955
1669,-531.602,0.00259232
1670,-531.62,0.00052246
1673,-531.629,0.000694753
1675,-531.628,0.000731398
1679,-531.623,0.00128796
1681,-531.618,0.000721099
1683,-531.616,0.000720293
1686,-531.623,0.000662309
1689,-531.632,0.000827388
1691,-531.624,0.000625395
1693,-531.617,0.000629318
1698,-531.619,0.000688329
1700,-531.613,0.000706999
1703,-531.627,0.000412983
1707,-531.656,0.00124281
1711,-531.644,0.00121067
1713,-531.638,0.00104385
1715,-531.623,0.0035701
1716,-531.627,0.000785418
1748,-531.631,0.00117083
1751,-531.627,0.00111655
1753,-531.622,0.00111367
1755,-531.621,0.00108502
1773,-531.643,0.0011363
1775,-531.64,0.000841852
1779,-531.63,0.000995489
1781,-531.631,0.00237089
1782,-531.639,0.000773822
1784,-531.649,0.00115734
1785,-531.639,0.00164174
1786,-531.714,0.00122661
1788,-531.712,0.00127704
