#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,7.25E-02
4.00E-02,9.11E-02
6.00E-02,1.10E-01
8.00E-02,1.28E-01
1.00E-01,1.47E-01
1.20E-01,1.65E-01
1.40E-01,1.84E-01
1.60E-01,2.03E-01
1.80E-01,2.22E-01
2.00E-01,2.41E-01
2.20E-01,2.59E-01
2.40E-01,2.78E-01
2.60E-01,2.97E-01
2.80E-01,3.16E-01
3.00E-01,3.35E-01
3.20E-01,3.54E-01
3.40E-01,3.73E-01
3.60E-01,3.92E-01
3.80E-01,4.11E-01
4.00E-01,4.30E-01
4.20E-01,4.48E-01
4.40E-01,4.67E-01
4.60E-01,4.86E-01
4.80E-01,5.05E-01
5.00E-01,5.24E-01
5.20E-01,5.43E-01
5.40E-01,5.62E-01
5.60E-01,5.81E-01
5.80E-01,6.00E-01
6.00E-01,6.19E-01
6.20E-01,6.38E-01
6.40E-01,6.57E-01
6.60E-01,6.76E-01
6.80E-01,6.95E-01
7.00E-01,7.14E-01
7.20E-01,7.33E-01
7.40E-01,7.52E-01
7.60E-01,7.71E-01
7.80E-01,7.90E-01
8.00E-01,8.09E-01
8.20E-01,8.28E-01
8.40E-01,8.47E-01
8.60E-01,8.66E-01
8.80E-01,8.85E-01
9.00E-01,9.04E-01
9.20E-01,9.23E-01
9.40E-01,9.42E-01
9.60E-01,9.61E-01
9.80E-01,9.80E-01
1.00E+00,9.99E-01
1.02E+00,1.02E+00
1.04E+00,1.04E+00
1.06E+00,1.06E+00
1.08E+00,1.08E+00
1.10E+00,1.10E+00
1.12E+00,1.11E+00
1.14E+00,1.13E+00
1.16E+00,1.15E+00
1.18E+00,1.17E+00
1.20E+00,1.19E+00
1.22E+00,1.21E+00
1.24E+00,1.23E+00
1.26E+00,1.25E+00
1.28E+00,1.27E+00
1.30E+00,1.29E+00
1.32E+00,1.31E+00
1.34E+00,1.33E+00
1.36E+00,1.35E+00
1.38E+00,1.37E+00
1.40E+00,1.39E+00
1.42E+00,1.40E+00
1.44E+00,1.42E+00
1.46E+00,1.44E+00
1.48E+00,1.46E+00
1.50E+00,1.48E+00
1.52E+00,1.50E+00
1.54E+00,1.52E+00
1.56E+00,1.54E+00
1.58E+00,1.56E+00
1.60E+00,1.58E+00
1.62E+00,1.60E+00
1.64E+00,1.62E+00
1.66E+00,1.64E+00
1.68E+00,1.66E+00
1.70E+00,1.68E+00
1.72E+00,1.69E+00
1.74E+00,1.71E+00
1.76E+00,1.73E+00
1.78E+00,1.75E+00
1.80E+00,1.77E+00
1.82E+00,1.79E+00
1.84E+00,1.81E+00
1.86E+00,1.83E+00
1.88E+00,1.85E+00
1.90E+00,1.87E+00
1.92E+00,1.89E+00
1.94E+00,1.91E+00
1.96E+00,1.93E+00
1.98E+00,1.95E+00
2.00E+00,1.97E+00
