#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,6.62E-02
4.00E-02,3.85E-02
6.00E-02,2.85E-02
8.00E-02,2.32E-02
1.00E-01,2.00E-02
1.20E-01,1.78E-02
1.40E-01,1.63E-02
1.60E-01,1.51E-02
1.80E-01,1.42E-02
2.00E-01,1.34E-02
2.20E-01,1.28E-02
2.40E-01,1.23E-02
2.60E-01,1.19E-02
2.80E-01,1.16E-02
3.00E-01,1.13E-02
3.20E-01,1.10E-02
3.40E-01,1.08E-02
3.60E-01,1.06E-02
3.80E-01,1.04E-02
4.00E-01,1.02E-02
4.20E-01,1.01E-02
4.40E-01,9.98E-03
4.60E-01,9.87E-03
4.80E-01,9.78E-03
5.00E-01,9.69E-03
5.20E-01,9.61E-03
5.40E-01,9.54E-03
5.60E-01,9.47E-03
5.80E-01,9.41E-03
6.00E-01,9.36E-03
6.20E-01,9.31E-03
6.40E-01,9.27E-03
6.60E-01,9.23E-03
6.80E-01,9.19E-03
7.00E-01,9.16E-03
7.20E-01,9.13E-03
7.40E-01,9.10E-03
7.60E-01,9.07E-03
7.80E-01,9.05E-03
8.00E-01,9.03E-03
8.20E-01,9.01E-03
8.40E-01,9.00E-03
8.60E-01,8.98E-03
8.80E-01,8.97E-03
9.00E-01,8.95E-03
9.20E-01,8.94E-03
9.40E-01,8.93E-03
9.60E-01,8.93E-03
9.80E-01,8.92E-03
1.00E+00,8.91E-03
1.02E+00,8.91E-03
1.04E+00,8.90E-03
1.06E+00,8.90E-03
1.08E+00,8.89E-03
1.10E+00,8.89E-03
1.12E+00,8.89E-03
1.14E+00,8.89E-03
1.16E+00,8.89E-03
1.18E+00,8.89E-03
1.20E+00,8.89E-03
1.22E+00,8.89E-03
1.24E+00,8.89E-03
1.26E+00,8.89E-03
1.28E+00,8.89E-03
1.30E+00,8.89E-03
1.32E+00,8.89E-03
1.34E+00,8.90E-03
1.36E+00,8.90E-03
1.38E+00,8.90E-03
1.40E+00,8.91E-03
1.42E+00,8.91E-03
1.44E+00,8.91E-03
1.46E+00,8.92E-03
1.48E+00,8.92E-03
1.50E+00,8.93E-03
1.52E+00,8.93E-03
1.54E+00,8.94E-03
1.56E+00,8.94E-03
1.58E+00,8.95E-03
1.60E+00,8.95E-03
1.62E+00,8.96E-03
1.64E+00,8.96E-03
1.66E+00,8.97E-03
1.68E+00,8.97E-03
1.70E+00,8.98E-03
1.72E+00,8.99E-03
1.74E+00,8.99E-03
1.76E+00,9.00E-03
1.78E+00,9.00E-03
1.80E+00,9.01E-03
1.82E+00,9.02E-03
1.84E+00,9.02E-03
1.86E+00,9.03E-03
1.88E+00,9.04E-03
1.90E+00,9.04E-03
1.92E+00,9.05E-03
1.94E+00,9.06E-03
1.96E+00,9.06E-03
1.98E+00,9.07E-03
2.00E+00,9.08E-03
