#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,4.98E-01
4.00E-02,2.89E-01
6.00E-02,2.14E-01
8.00E-02,1.75E-01
1.00E-01,1.50E-01
1.20E-01,1.34E-01
1.40E-01,1.22E-01
1.60E-01,1.13E-01
1.80E-01,1.06E-01
2.00E-01,1.01E-01
2.20E-01,9.64E-02
2.40E-01,9.27E-02
2.60E-01,8.96E-02
2.80E-01,8.69E-02
3.00E-01,8.46E-02
3.20E-01,8.27E-02
3.40E-01,8.10E-02
3.60E-01,7.95E-02
3.80E-01,7.82E-02
4.00E-01,7.70E-02
4.20E-01,7.60E-02
4.40E-01,7.50E-02
4.60E-01,7.42E-02
4.80E-01,7.35E-02
5.00E-01,7.28E-02
5.20E-01,7.22E-02
5.40E-01,7.17E-02
5.60E-01,7.12E-02
5.80E-01,7.07E-02
6.00E-01,7.03E-02
6.20E-01,7.00E-02
6.40E-01,6.96E-02
6.60E-01,6.93E-02
6.80E-01,6.91E-02
7.00E-01,6.88E-02
7.20E-01,6.86E-02
7.40E-01,6.84E-02
7.60E-01,6.82E-02
7.80E-01,6.80E-02
8.00E-01,6.79E-02
8.20E-01,6.77E-02
8.40E-01,6.76E-02
8.60E-01,6.75E-02
8.80E-01,6.74E-02
9.00E-01,6.73E-02
9.20E-01,6.72E-02
9.40E-01,6.71E-02
9.60E-01,6.71E-02
9.80E-01,6.70E-02
1.00E+00,6.70E-02
1.02E+00,6.69E-02
1.04E+00,6.69E-02
1.06E+00,6.69E-02
1.08E+00,6.68E-02
1.10E+00,6.68E-02
1.12E+00,6.68E-02
1.14E+00,6.68E-02
1.16E+00,6.68E-02
1.18E+00,6.68E-02
1.20E+00,6.68E-02
1.22E+00,6.68E-02
1.24E+00,6.68E-02
1.26E+00,6.68E-02
1.28E+00,6.68E-02
1.30E+00,6.68E-02
1.32E+00,6.68E-02
1.34E+00,6.69E-02
1.36E+00,6.69E-02
1.38E+00,6.69E-02
1.40E+00,6.69E-02
1.42E+00,6.70E-02
1.44E+00,6.70E-02
1.46E+00,6.70E-02
1.48E+00,6.71E-02
1.50E+00,6.71E-02
1.52E+00,6.71E-02
1.54E+00,6.72E-02
1.56E+00,6.72E-02
1.58E+00,6.72E-02
1.60E+00,6.73E-02
1.62E+00,6.73E-02
1.64E+00,6.74E-02
1.66E+00,6.74E-02
1.68E+00,6.74E-02
1.70E+00,6.75E-02
1.72E+00,6.75E-02
1.74E+00,6.76E-02
1.76E+00,6.76E-02
1.78E+00,6.77E-02
1.80E+00,6.77E-02
1.82E+00,6.78E-02
1.84E+00,6.78E-02
1.86E+00,6.79E-02
1.88E+00,6.79E-02
1.90E+00,6.80E-02
1.92E+00,6.80E-02
1.94E+00,6.81E-02
1.96E+00,6.81E-02
1.98E+00,6.82E-02
2.00E+00,6.82E-02
